,Anson County,Asheville Regional,Douglas Municipal,Pine Island,Elizabeth,Northeastern Regional,Craven County Regional,Fayetteville Regional/Grannis Field,Simmons AFB,Seymour Johnson AFB,Piedmont Triad International,Mackall AAF,Hickory Regional,Billy Mitchell,Horace Williams,Wilkes County,Wilmington International,Smith Reynolds,Kinston Regional Jetport at Stallings Field,Concord Regional,Lumberton Municipal,Dare County Regional,Beaufort/Morehead,Morganton Lenoir,Laurinburg-Maxton,Gastonia Municipal,Johnston County,Shelby Municipal,Currituck County Regional,Duplin County,Cherry Point MCAS,Albert J Ellis,Warren Field,Pitt Greenville,Pope AFB,Raleigh-Durham International,Lincoln County,Rocky Mount-Wilson Regional,Halifax County,Moore County,Rowan County,Statesville Municipal,Person County,Stanly County,Henderson Oxford,Michael J. Smith Field,Clinton Sampson County,Burlington Alamance Regional,Richmond County,Charlotte Monroe Executive,Macon County,Raleigh Exec Jetport at Sanford Lee County,Columbus County Municipal,Siler City Municipal,Tri County,Cape Fear Regional Jetport Howie Franklin,Asheboro Regional,Hendersonville Airport,Western Carolina Regional
Piedmont Triad International,74.21,152.58,82.12,231.95,210.55,188.44,177.5,96.7,87.2,122.77,0.0,77.1,84.54,249.75,50.2,65.09,170.75,16.07,140.8,65.07,113.82,237.68,207.27,95.3,95.52,91.47,94.95,109.54,219.82,133.59,190.8,157.5,165.98,146.67,82.26,66.61,80.17,115.92,126.71,66.72,44.67,61.04,55.09,48.09,80.96,207.27,117.56,26.3,83.59,83.48,204.24,58.82,143.54,36.34,155.21,182.99,30.35,149.87,228.65
Mackall AAF,33.03,173.94,82.24,224.58,204.88,178.33,138.89,35.08,32.5,89.33,77.1,0.0,117.16,219.44,66.67,121.65,105.04,86.24,108.11,72.54,38.55,222.44,162.17,131.38,18.48,94.06,71.53,119.77,216.8,85.83,148.42,107.78,142.79,126.01,28.84,70.59,98.78,106.67,139.48,15.2,71.37,96.22,90.96,45.27,106.48,162.16,64.22,69.95,17.9,63.62,222.0,43.85,69.01,46.14,157.01,111.43,48.21,166.83,246.94
Hickory Regional,88.8,68.04,44.17,315.07,293.77,270.54,249.11,150.58,144.45,194.81,84.54,117.16,0.0,326.4,130.87,37.09,222.0,70.62,214.07,45.44,153.09,319.19,275.79,14.23,131.65,39.54,169.0,35.55,303.51,198.72,260.66,222.17,243.88,224.85,139.35,146.43,21.93,196.26,211.08,117.82,49.24,24.43,139.62,73.14,165.46,275.79,178.44,109.28,109.04,66.09,119.69,128.94,182.2,105.81,238.88,225.84,84.11,65.84,144.17
Billy Mitchell,252.42,390.22,299.92,71.25,77.48,76.63,81.02,184.93,187.24,132.11,249.75,219.44,326.4,0.0,199.55,314.71,145.7,265.81,112.73,287.07,199.33,47.7,68.1,339.6,214.06,312.03,157.43,337.37,83.66,134.35,74.78,115.96,83.82,103.12,191.62,183.14,312.59,134.64,143.7,212.61,277.23,302.25,202.1,255.64,180.7,68.13,156.12,223.62,235.2,282.95,440.05,197.46,187.68,220.91,113.9,165.9,242.3,384.21,465.12
Horace Williams,85.02,198.06,116.14,184.28,163.04,139.71,128.43,66.03,55.97,74.48,50.2,66.67,130.87,199.55,0.0,115.22,132.65,66.26,91.59,99.79,91.47,188.56,158.95,142.96,80.79,127.57,46.66,149.96,173.1,88.86,142.18,111.96,115.78,96.47,52.88,16.41,121.6,66.02,83.28,51.5,83.93,106.48,24.61,70.65,42.02,158.96,77.15,24.18,82.01,108.09,249.57,24.44,116.55,29.28,108.69,149.45,50.34,194.01,274.4
Wilkes County,100.62,97.44,69.94,295.87,274.45,253.07,241.14,150.87,142.9,186.18,65.09,121.65,37.09,314.71,115.22,0.0,225.26,49.05,204.74,61.83,160.0,302.42,270.02,39.53,138.81,70.53,158.75,72.53,283.19,194.37,253.94,218.38,230.99,211.68,137.66,131.61,51.19,181.01,189.22,117.59,51.33,32.76,117.87,76.94,143.39,270.03,176.07,91.38,118.84,87.47,147.44,120.2,190.35,96.08,218.86,233.07,77.94,97.97,170.58
Wilmington International,134.37,275.01,184.27,181.86,168.76,143.16,74.18,74.74,83.68,74.19,170.75,105.04,222.0,145.7,132.65,225.26,0.0,183.96,75.01,176.9,69.92,169.15,77.82,236.23,90.78,195.3,92.23,220.67,181.71,50.84,72.88,42.33,102.12,98.87,88.77,121.71,202.84,109.69,150.5,107.72,176.14,201.23,152.16,150.15,148.96,77.79,55.52,151.75,114.05,162.97,320.01,113.42,46.31,134.41,146.26,25.17,147.98,266.84,344.35
Smith Reynolds,77.22,138.51,74.8,247.52,226.1,204.26,193.26,109.38,100.29,138.43,16.07,86.24,70.62,265.81,66.26,49.05,183.96,0.0,156.62,58.5,124.17,253.55,222.82,80.52,104.68,82.72,110.7,98.23,235.19,148.51,206.44,172.49,182.04,162.73,95.19,82.66,69.09,131.96,141.69,77.8,37.63,48.24,69.97,49.83,95.81,222.82,131.75,42.33,89.85,80.38,190.05,73.63,154.37,50.17,170.64,194.99,38.03,136.39,214.25
Kinston Regional Jetport at Stallings Field,140.76,277.48,187.37,120.81,103.42,76.19,36.83,75.04,75.61,19.37,140.8,108.11,214.07,112.73,91.59,204.74,75.01,156.62,0.0,174.34,95.4,115.39,67.85,227.47,105.62,199.49,46.0,224.73,116.27,30.57,50.85,34.3,35.98,24.87,79.62,75.65,199.88,39.58,77.06,100.15,164.83,190.09,101.27,142.91,87.9,67.86,48.79,115.6,124.81,171.07,327.38,85.41,95.84,109.31,71.58,99.88,130.14,271.51,352.46
Concord Regional,43.38,103.19,17.15,282.12,261.21,236.47,208.08,106.83,101.64,154.96,65.07,72.54,45.44,287.07,99.79,61.83,176.9,58.5,174.34,0.0,107.72,283.88,233.38,59.61,86.33,27.83,130.97,51.03,271.86,156.32,218.84,179.25,206.25,187.75,96.75,113.43,26.29,161.62,183.0,75.17,20.92,29.53,114.92,31.55,139.48,233.37,135.38,83.05,63.61,25.89,153.23,91.51,136.77,71.27,207.98,180.4,49.46,97.27,178.31
